Exercise Name,Category,Intensity,Calories/10min,Equipment,Body Focus,Min Duration,Max Duration,Goal,Workload Match,Skill Level
Climbing Wall,Cardio,High,160,Nothing,Full body,20,60,Full Workout,Energetic,Advanced
Roller Skating,Cardio,Moderate,100,Nothing,Legs,20,40,"Strength, Flexibility ",Focused,Beginner
Rowing Outdoor,Cardio,High,150,Nothing,Full body,20,60,Full Workout,Energetic,Intermediate
Martial Arts Practice,Cardio,High,160,Nothing,Full body,20,60,Full Workout,Energetic,Advanced
Jump Squats,Cardio,High,120,Nothing,Legs,5,15,"Strength, Flexibility ",Energetic,Intermediate
Cat-Cow Stretch,Flexibility,Low,15,Yoga Mat,"Spine, Core",5,15,"Flexibility , Strength ",Calm,Beginner
Hamstring Stretch,Flexibility,Low,10,Nothing,Legs,5,10,"Desk Relief , Flexibility ",Calm,Beginner
Quadriceps Stretch,Flexibility,Low,10,Nothing,Legs,5,10,"Desk Relief, Flexibility ",Calm,Beginner
Shoulder Stretch,Flexibility,Low,10,Nothing,Shoulders,5,10,"Desk Relief, Flexibility ",Calm,Beginner
Neck Rolls,Flexibility,Low,5,Nothing,Neck,5,10,Desk Relief,Tired,Beginner
Hip Opener Stretch,Flexibility,Low,15,Yoga Mat,Hips,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Seated Forward Bend,Flexibility,Low,20,Yoga Mat,"Spine, Legs",5,15,"Strength, Posture improvement ",Calm,Beginner
Side Stretch,Flexibility,Low,15,Nothing,Obliques,5,10,"Desk Relief, Flexibility ",Calm,Beginner
Bridge Stretch,Flexibility,Low,20,Yoga Mat,Back,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Butterfly Stretch,Flexibility,Low,15,Yoga Mat,"Hips, Thighs",5,15,"Stress Relief, Flexibility ",Calm,Beginner
Calf Stretch,Flexibility,Low,10,Nothing,Calves,5,10,"Desk Relief , Flexibility ",Calm,Beginner
Wrist Stretch,Flexibility,Low,5,Nothing,Arms,5,10,"Desk Relief, Flexibility ",Tired,Beginner
Child's Pose,Flexibility,Low,10,Yoga Mat,"Back, Hips",5,15,"Stress Relief, Flexibility ",Tired,Beginner
Spinal Twist,Flexibility,Low,15,Yoga Mat,Spine,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Cobra Stretch,Flexibility,Low,20,Yoga Mat,Spine,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Chest Opener,Flexibility,Low,15,Nothing,Chest,5,15,"Flexibility ,Stress Relief ",Calm,Beginner
Seated Side Bend,Flexibility,Low,15,Yoga Mat,Obliques,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Hip Flexor Stretch,Flexibility,Low,15,Nothing,Hips,5,15,"Desk Relief, Flexibility ",Calm,Beginner
Pigeon Pose,Flexibility,Moderate,25,Yoga Mat,Hips,5,15,"Desk Relief, Flexibility ",Focused,Intermediate
Standing Forward Bend,Flexibility,Low,20,Nothing,"Hamstrings, Spine",5,15,"Desk Relief, Flexibility ",Calm,Beginner
Mindful Breathing,Meditation,Low,5,Nothing,Mind,5,20,"Stress Relief, Calmness ",Tired,Beginner
Body Scan Meditation,Meditation,Low,5,Nothing,Mind,10,30,"Stress Relief, Calmness ",Tired,Beginner
Guided Relaxation,Meditation,Low,5,Nothing,Mind,10,30,"Stress Relief, Calmness ",Tired,Beginner
Progressive Muscle Relaxation,Meditation,Low,5,Nothing,Full body,10,20,"Stress Relief, Calmness ",Tired,Beginner
Visualization Meditation,Meditation,Low,5,Nothing,Mind,10,20,"Stress Relief , Calmness ",Calm,Beginner
Loving-Kindness Meditation,Meditation,Low,5,Nothing,Mind,10,20,"Stress Relief, Calmness ",Calm,Beginner
Walking Meditation,Meditation,Low,20,Nothing,"Mind, Body",10,30,"Stress Relief, Calmness ",Calm,Beginner
Counting Breath Meditation,Meditation,Low,5,Nothing,Mind,5,20,"Stress Relief, Calmness ",Calm,Beginner
Chanting Meditation,Meditation,Low,10,Nothing,Mind,10,30,"Stress Relief, Calmness ",Calm,Beginner
Yoga Nidra,Meditation,Low,5,Nothing,"Mind, Full body",20,60,"Stress Relief, Calmness ",Tired,Beginner
