Food Item,Calories,Protein,Carbs,Fiber,Fats,Veg/Non-Veg,Category,Meal,Allergens,Junk/Healthy,Weight
Macadamia Nuts(28g),200,2,4,2.4,21,Veg,Nuts,Snack,None,Healthy,WeightGain
Lotus Seeds(32g),106,4.9,20.6,1,0.6,Veg,Nuts&Seeds,Snack,Seeds,Healthy,Weight Gain
Chironji(10g),65.6,1.9,1.21,0.7,5.91,Veg,Nuts,Snack,Nuts,Healthy,Weight Gain
Sesame Seeds(27g),155,4.8,6.3,3.2,13.4,Veg,Seeds,Snack,Sesame,Healthy,Weight Gain
Watermelon Seeds(28g),158,8,4,3.6,13,Veg,Seeds,Snack,None,Healthy,Weight Gain
Mustard Seeds(15g),52,2.7,3.91,1.65,3.22,Veg,Seeds,Snack,Mustard,Healthy,Weight Gain
Nigella Seeds(5g),19,0.9,2.2,0.5,1.1,Veg,Seeds,Snack,Black Seeds,Healthy,Weight Gain
Spinach(100g),23,2.9,3.6,2.2,0.4,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Potato(148g),110,3,26,2,0,Veg,Vegetables,"Breakfast,Lunch,Dinner",Patatin,Healthy,Weight Loss
Cauliflower(107g),27,2.1,5.3,2.1,0.3,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Cabbage(89g),22,1.1,5.2,2.2,0.1,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Ladyfinger(100g),33,1.9,7.5,3.2,0.2,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Bottle Gourd(100g),14,0.6,3.4,0.8,1,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Bitter Gourd(100g),17,1,3.7,2.8,0.2,Veg,Vegetables,"Breakfast,Lunch,Dinner",Cucurbitaceae,Healthy,Weight Loss
Brinjal(100g),25,1,5.9,3,0.2,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Carrot(61g),25,0.5,6,1.8,0,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Radish(116g),19,0.8,3.9,1.9,0.1,Veg,Vegetables,"Breakfast,Lunch,Dinner",Mustard,Healthy,Weight Loss
Beetroot(100g),43,1.6,9.6,2.8,0.2,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Capsicum(119g),31,1.2,7.3,2.4,0.4,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Cucumber(52g),8,1,1.9,0.3,0.1,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Tomato(123g),22,1,5,1.2,0.2,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Onion(160g),64,1.76,14.9,2.72,0.16,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Pumpkin(245g),49,2.2,4,1.1,0.4,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Mushroom(96g),21,3,3,1,0,Veg,Vegetables,"Breakfast,Lunch,Dinner",Mannitol,Healthy,Weight Loss
Fenugreek Leaves(100g),49,4.4,6,1.1,0.9,Veg,Vegetables,"Breakfast,Lunch,Dinner",Legume,Healthy,Weight Loss
Mustard Greens(56g),15,2,3,2,0.9,Veg,Vegetables,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Sweet Potato Baked(114g),142,3,33,5,0.2,Veg,Vegetables,"Lunch,Dinner",None,Healthy,Weight Loss
Broccoli Cooked(156g),55,3.7,11.2,5.1,0.64,Veg,Vegetables,"Lunch,Dinner",None,Healthy,Weight Loss
Aloo Gobi(120g),140,5,24,6,5.5,Veg,Cooked Meals,"Lunch,Dinner",None,Healthy,Weight Loss
Mixed Veg Curry(200g),250,7,25,6,10,Veg,Cooked Meals,"Lunch,Dinner",None,Healthy,Weight Loss
Kadhi Chawal(300g),500,15,50,7,30,Veg,Cooked Meals,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Palak Paneer(200g),338,14,16,4.3,28,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Chole Bhature(180g),321,8.9,40.2,12,13.8,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Gluten,Healthy,Weight Gain
Rajma Chawal(250g),315,11,50,7,6,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Lectin,Healthy,Weight Loss
Shahi Paneer(100g),300,15,7,2,22,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Paneer Butter Masala(200g),650,20,55,4,38,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Baingan Bharta(100g),97,1.7,12.6,3.1,5.3,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Eggplant,Healthy,Weight Loss
Dal Makhani(250g),450,18,112,6,14,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Sarson Da Saag(150g),125,4,9,3,9,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Mustard,Healthy,Weight Gain
Makki Roti Saag(155g),300,9,35,10,9.4,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Bhindi Masala(100g),145,3,12,10,3,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Vegetable Pulao(244g),281,5.4,54,1,4.4,Veg,Cooked Meals,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Vegetable Biryani(169g),198,4.2,37,2,3.9,Veg,Cooked Meals,"Breakfast,Snack",None,Healthy,Weight Gain
Khichdi(250g),420,12.4,58.1,5.96,8.8,Veg,Cooked Meals,Breakfast,None,Healthy,Maintain
Curd Rice(250g),185,6.5,32,1.5,3.5,Veg,Cooked Meals,Lunch,Dairy,Healthy,Weight Gain
Puri sabji(175g),500,8,60,8,17,Veg,Cooked Meals,Lunch,Gluten,Junk,Weight Gain
Mutter Panner(100g),150,7,9,2,9,Veg,Cooked Meals,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Upma(120g),250,8.11,45.67,3.2,3.78,Veg,South-Indian,"Breakfast,Lunch,Dinner,Snack",None,Healthy,Weight Loss
Fried Rice(250g),370,8.5,58,3,12,Veg,Rice Dishes,"Lunch,Dinner",None,Junk,Weight Gain
Jeera Rice(200g),245,5.5,48,2,0.5,Veg,Rice Dishes,"Lunch,Dinner",None,Healthy,Maintain
Kashmiri Pulao(250g),355,7.5,58,3.5,10.5,Veg,Rice Dishes,"Lunch,Dinner",None,Healthy,Weight Gain
Chicken Biryani(300g),425,32,55,4,12,Non-Veg,Rice Dishes,"Lunch,Dinner",None,Healthy,Weight Gain
Mutton Biryani(300g),395,15.3,46.7,5,16,Non-Veg,Rice Dishes,"Lunch,Dinner",None,Healthy,Weight Gain
Egg Biryani(200g),409,17.9,48,2.6,15.5,Non-Veg,Rice Dishes,"Lunch,Dinner",Egg ,Healthy,Weight Gain
Hyderabadi Biryani(300g),465,28,58,4.5,15.5,Non-Veg,Rice Dishes,"Lunch,Dinner",None,Healthy,Weight Gain
Idli(3) Sambar(369g),304,12,61,8.9,2,Veg,South-Indian,"Breakfast,Lunch",None,Healthy,Weight Gain
Dosa Plain(120g),168,4.2,28.6,2.5,3.8,Veg,South-Indian,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Rava Dosa(120g),175,4.5,30,2,4.5,Veg,South-Indian,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Masala Dosa(150g),245,6.5,38,4,8,Veg,South-Indian,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Uttapam(150g),195,5.5,35,3.5,4,Veg,South-Indian,"Breakfast,Dinner",None,Healthy,Maintain
Medu Vada(2 pieces 100g),185,6.5,22,3.5,8.5,Veg,South-Indian,"Breakfast,Snack",None,Healthy,Maintain
Poha (150g),250,5,48,2.8,4.5,Veg,Breakfast Items,"Breakfast,Snack",None,Healthy,Maintain
Peanut Butter Sandwich (2 slices),342,14,36,4.5,16,Veg,Sandwiches,"Breakfast,Snack","Peanuts,Gluten",Healthy,Weight Gain
Pongal(200g),235,7,38,3.5,6.5,Veg,South-Indian,Breakfast,None,Healthy,Maintain
Chana Dal(100g),200,10,26,12,4,Veg,Pulses,"Snack,Breakfast,Lunch,Dinner",Legume,Healthy,Maintain
Moong Dal(100g),105,7,19,7.6,0.9,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Masoor Dal(195g),206,10.6,33.5,14.9,0.7,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Urad Dal(100g),341,25.2,57.2,18,1.5,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Toor Dal(100g),162,11.4,28.2,7.7,0.6,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Rajma(100g),127,8.7,22.8,6.4,0.5,Veg,Pulses,"Snack,Breakfast,Lunch,Dinner",None,Healthy,Maintain
Kabuli Chana(164g),269,14.5,45,12.5,4,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Green Moong(100g),105,7,19,8,0.9,Veg,Pulses,"Snack,Breakfast,Lunch,Dinner",None,Healthy,Maintain
Black Gram(180g),164,15,27,13,2.6,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Horse Gram(100g),145,9.6,26,4,0.3,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Lobia(170g),198,13,36,11,0.9,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Moth Dal(100g),343,23,62,15,1.6,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Soybeans(100g),172,18,8.4,6,9,Veg,Pulses,"Breakfast,Lunch,Dinner",Soy,Healthy,Weight Gain
Kulthi Dal(100g),321,22,57,18,1.5,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Arhar Dal(100g),107,7.2,18.3,3,0.5,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Maintain
Bengal Gram(100g),164,9,27,8,3.5,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Chickpeas(164g),269,14.5,45,12.5,4.2,Veg,Pulses,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Yellow Split Peas(100g),117,8.3,21.1,8.3,0.4,Veg,Pulses,"Snack,Breakfast,Lunch,Dinner",None,Healthy,Maintain
Green Peas(100g),81,5,15,5,0.4,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Red Lentils(198g),230,18,40,16,0.8,Veg,Grains,"Lunch,Dinner",None,Healthy,Maintain
Basmati Rice(163g),210,4.4,45.6,0.7,0.5,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Brown Rice(195g),218,4.5,45.8,3.5,1.6,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Parboiled Rice(158g),194,4.6,41,1.4,0.58,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Flattened Rice(100g),150,3,25,2,3,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Barley(157g),193,3.6,44.3,6,0.7,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Millet(174g),207,6.1,42,2.3,1.7,Veg,Grains,"Breakfast,Snack",None,Healthy,Weight Gain
Ragi(100g),336,7.3,72,11.5,1.3,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Oats(40g),156,7,27,4,3,Veg,Grains,"Breakfast,Lunch,Dinner","Avenin,Gluten",Healthy,Weight Gain/Weight Gain
Cooked Buckwheat(100g),155,5.7,34,4.5,1.2,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Raw Buckwheat(100g),343,13.3,71.5,10,3.4,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Amaranth(123g),125,4.7,23,2.6,1.9,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Quinoa(185g),222,8.1,39.4,5.2,3.6,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Broken Wheat(100g),120,4,25,5,0.5,Veg,Grains,"Breakfast,Lunch,Dinner",Wheat,Healthy,Weight Gain
Sorghum(100g),330,11,72,7,3.5,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Foxtail Millet(100g),350,12.3,63.2,8,4.3,Veg,Grains,"Breakfast,Lunch,Dinner",Potential,Healthy,Weight Loss
Little Millet(174g),207,6.1,41.2,2.3,1.7,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Loss
Kodo Millet(100g),353,10.6,66.6,10.2,4.2,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Pearl Millet(100g),360,11,67,8,5,Veg,Grains,"Lunch,Dinner",None,Healthy,Weight Gain
Finger Millet(100g),336,7.3,72,22.6,2,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Gain
Wild Rice(100g),101,4,21,2,0.3,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Proso Millet(100g),356,11,70,9,3,Veg,Grains,"Breakfast,Lunch,Dinner",None,Healthy,Weight Loss
Wheat Roti(40g),120,4,22,4,2,Veg,Roti,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Makki Roti(55g),151,4.4,22.2,4.4,4.8,Veg,Roti,"Lunch,Dinner",Corn,Healthy,Weight Gain
Bajra Roti(40g),91,2.9,16.6,3.1,1.5,Veg,Roti,"Lunch,Dinner",None,Healthy,Weight Loss
Jowar Roti(40g),111,2.5,22.9,2,1,Veg,Roti,"Lunch,Dinner",None,Healthy,Weight Loss
Ragi Roti(60g),118,3.2,21,2.6,3.4,Veg,Roti,"Lunch,Dinner",None,Healthy,Weight Loss
Missi Roti(45g),153,7.4,30.7,4.2,5.2,Veg,Roti,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Besan Roti(50g),150,7,27,5,4,Veg,Roti,"Lunch,Dinner",Legume,Healthy,Weight Loss
Ajwain Roti(50g),147,3.1,25,3.2,7,Veg,Roti,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Multigrain Roti(45g),140,4,24,3.5,3.3,Veg,Roti,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Tandoori Roti(60g),170,6,32,4,4,Veg,Roti,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Naan(90g),262,9,45,2,5,Veg,Roti,"Lunch,Dinner","Gluten,Milk,Eggs",Healthy,Weight Gain
Kulcha(60g),143,3.9,25.3,0.23,2.9,Veg,Roti,"Breakfast,Lunch,Dinner",Gluten,Healthy,Weight Gain
Roomali Roti(40g),115,3.2,20.9,1.6,2,Veg,Roti,"Breakfast,Lunch,Dinner",Gluten,Healthy,Weight Gain
Phulka(40g),93,3,15,3,0.9,Veg,Roti,"Breakfast,Lunch",Gluten,Healthy,Weight Gain
Lachha Paratha(80g),260,5,37,4.5,15,Veg,Roti,"Breakfast,Lunch",Gluten,Healthy,Weight Gain
Aloo Paratha(131g),300,6.1,46,8.7,11,Veg,Roti,"Breakfast,Lunch",Gluten,Healthy,Weight Gain
Paneer Paratha(100g),280,11,30,4,14,Veg,Roti,"Breakfast,Lunch","Gluten,Dairy",Healthy,Weight Gain
Gobi Paratha(100g),250,7,35,5,12,Veg,Roti,"Breakfast,Lunch",Gluten,Healthy,Weight Gain
Methi Paratha(100g),280,8.5,40,4,11,Veg,Roti,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Onion Paratha(116g),277,5.7,40,8.5,11,Veg,Roti,"Breakfast,Snack","Gluten,Milk ",Healthy,Weight Gain
White Bread(25g per slice),67,2,13,0.6,1,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Brown Bread(30g per slice),80,3.1,15,2,1.2,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Whole Wheat Bread(43g per slice),90,5,20,3,2,Veg,Breads,"Snack,Dinner",Gluten,Healthy,Weight Gain
Multigrain Bread(26g),69,3.5,12,2,1.2,Veg,Breads,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Garlic Bread(43g per slice),150,3.6,18,1.1,7.1,Veg,Breads,"Lunch,Dinner",Gluten,Healthy,Weight Gain
Stuffed Kulcha(125g),293,10,46,3,15,Veg,Breads,"Lunch,Dinner,Snack",Gluten,Healthy,Weight Gain
Pita Bread(64g),180,6,36,4,1,Veg,Breads,"Breakfast,Snack",Gluten,Junk,Weight Gain
Focaccia(57g),142,5,20.4,1,4.5,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Loss
Bun(60g),150,6,28,5,3,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Bread Roll(60g),180,6,35,3,3,Veg,Breads,"Breakfast,Snack",Gluten,Junk,Weight Gain
Fruit Bread(41g per slice),132,2.5,22.37,2,4.23,Veg,Breads,"Lunch,Dinner,Snack","Gluten,Egg,Soy,Milk",Junk,Weight Gain
Cheese Bread(48g per slice),196,5,22,1,10,Veg,Breads,"Lunch,Dinner","Gluten,Milk,Eggs",Healthy,Weight Gain
Herb Bread(40g per slice),120,5,22,2,3,Veg,Breads,"Lunch,Dinner","Gluten,Soy,Egg",Healthy,Weight Loss
Ciabatta(57g),140,5,29,1,0.5,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Baguette(64g),175,7.5,35,2,2,Veg,Breads,Snack,Gluten,Healthy,Weight Loss
Croissant(57g),231,5,26,1.5,12,Veg,Breads,"Lunch,Dinner","Gluten,Milk,Eggs",Healthy,Weight Gain
Khari Biscuit(12g per piece),59,2,6,1,3,Veg,Breads,"Breakfast,Snack","Gluten,Soy,Tree Nuts",Healthy,Weight Gain
Kulcha Bread(60g),143,3.9,25.3,0.23,2.9,Veg,Breads,"Breakfast,Snack","Gluten,Dairy,Soy",Healthy,Weight Gain
Sweet Bun(80g),288,8,55,3,8,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Milk Bread(28g per slice),100,4,20,0.9,2,Veg,Breads,"Breakfast,Snack",Gluten,Healthy,Weight Gain
Paneer(100g),321,25,5,0,27,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Milk(249g),152,8,12,0,8,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Curd(100g),70,4,5,0,4,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Buttermilk(245g),98,8,12,0,3,Veg,Dairy & Alternatives,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Loss
Cheddar Cheese(28g),115,7,1,0,9,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Parmesan Cheese(28g),119,10,4,0,8,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Mozzarella Cheese(28g),86,7,2,0,6,Veg,Dairy & Alternatives,"Breakfast,Snack,Lunch,Dinner",Dairy,Healthy,Weight Loss
Ghee(15g),135,0,0,0,15,Veg,Dairy & Alternatives,"Breakfast,Lunch,Dinner",Dairy,Healthy,Weight Gain
Butter(14g),102,0.1,0,0,11.5,Veg,Dairy & Alternatives,"Breakfast,Snack",Dairy,Healthy,Weight Gain
Cream(15g),51,0.5,0.4,0,5.5,Veg,Dairy & Alternatives,Breakfast,Dairy,Healthy,Weight Gain
Kefir(240g),118,8,12,0,2,Veg,Dairy & Alternatives,Breakfast,Dairy,Healthy,Weight Loss
Soy Milk(240g),100,8,8,2,4,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Almond Milk(240g),40,1,3.4,1,3,Veg,Dairy & Alternatives,"Breakfast,Lunch,Snack",Tree Nuts,Healthy,Weight Loss
Coconut Milk(100g),230,2.3,5.5,2.2,23.8,Veg,Dairy & Alternatives,"Lunch,Dinner",Tree Nuts,Healthy,Weight Gain
Sweet Lassi(250g),286,6.5,34.8,0,9.75,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Salted Lassi(250g),176,6.5,7.5,0,9.75,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Khoa(100g),413,20,30,0,26,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Shrikhand(100g),270,8,42,1,9,Veg,Dairy & Alternatives,Lunch,Dairy,Healthy,Weight Gain
Yogurt(100g),59,10.3,7.7,0,0.4,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Chaas(250g),128,8,11.7,0.37,7.75,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Cottage Cheese(100g),100,14,4,0,2.5,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Skimmed Milk(240g),86,8.4,12,0,0.2,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Loss
Full Cream Milk(244g),152,8,12,0,8,Veg,Dairy & Alternatives,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Paneer Tikka (100g),265,18.5,6.2,1.5,18.8,Veg,Dairy & Cheese,"Lunch,Dinner,Snack",Dairy,Healthy,Weight Gain
Chicken Curry(235g),412,25,20,30,29,Non-Veg,Meats & Seafood,"Lunch,Dinner",Coconut,Healthy,Weight Loss
Fish Fry(100g),250,25,15,2,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Fish,Healthy,Weight Loss
Tandoori Chicken(100g),181,29.5,4.2,0.8,7.1,Non-Veg,Meats & Seafood,"Lunch,Dinner","Milk,Soya",Healthy,Weight Loss
Butter Chicken(300g),640,40,28,5,35,Non-Veg,Meats & Seafood,"Lunch,Dinner",Milk,Healthy,Weight Gain
Mutton Curry(100g),235,2,10,2,15,Non-Veg,Meats & Seafood,"Lunch,Dinner",Meat,Healthy,Weight Loss
Keema(100g),300,25,18,5,20,Non-Veg,Meats & Seafood,"Lunch,Dinner",Dairy,Healthy,Weight Gain
Prawns Masala(100g),179,19,6,1.8,8,Non-Veg,Meats & Seafood,"Lunch,Dinner",ShellFish,Healthy,Weight Loss
Fish Curry(240g),340,40,16,4,18,Non-Veg,Meats & Seafood,"Breakfast,Snack,Lunch,Dinner",None,Healthy,Weight Loss
Egg Curry(120g),210,1014,4,17,7.1,Non-Veg,Meats & Seafood,"Breakfast,Snack,Lunch,Dinner",Egg,Healthy,Weight Gain
Boiled Egg(50g),78,6.3,0.6,0,5.3,Non-Veg,Meats & Seafood,"Lunch,Dinner",Egg,Healthy,Weight Gain
